Blog	four 	here 	china 	how 	re 	tech 	best 	country 	much 	life 	had 	old 	people 	america 	inside 	time 	love 	working 	such 	years 	internet 	million 	one 	city 	russia 	warriors 	take 	where 	many 	former 	summer 	being 	around 	world 	her 	th 	scientists 	full 	social 	company 	states 	its 	found 	major 	also 	set 	see 	d 	be 	agreement 	into 	up 	us 	uk 	video 	great 	next 	high 	ties 	could 	start 	system 	manchester 	should 	off 	government 	does 	monday 	all 	work 	mayor 	them 	they 	another 	do 	secretary 	climate 	photo 	night 	security 	months 	way 	was 	war 	terror 	change 	live 	can 	still 	not 	now 	year 	space 	british 	than 	online 	only 	between 	these 	media 	death 	real 	using 	t 	your 	area 	you 	month 	very 	help 	american 	during 	look 	while 	used 	five 	game 	some 	qatar 	him 	may 	times 	attack 	need 	so 	based 	she 	police 	party 	i 	utah 	home 	washington 	north 	he 	star 	even 	ever 	men 	campaign 	president 	before 	better 	don 	m 	said 	against 	three 	say 	near 	if 	make 	left 	just 	human 	deal 	digital 	suicide 	international 	sunday 	designed 	man 	nbsp 	killed 	first 	were 	show 	data 	get 	across 	according 	among 	cancer 	those 	same 	film 	students 	u 	children 	two 	through 	portland 	park 	most 	bill 	big 	google 	back 	decision 	day 	south 	cosby 	national 	we 	injured 	center 	latest 	smart 	like 	about 	but 	paris 	school 	would 	phone 	my 	keep 	london 	saturday 	free 	their 	bridge 	watch 	report 	news 	games 	been 	donald 	election 	attacks 	no 	when 	says 	trump 	any 	state 	week 	or 	there 	woman 	what 	known 	grande 	health 	friday 	his 	range 	called 	app 	use 	women 	united 	six 	light 	our 	out 	which 	who 	why 	last 	will 	other 	know 	because 	universe 	own 	june 
ASCD SmartBrief	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0
FRONTLINE - Latest Stories	0	0	0	2	1	0	0	1	0	3	1	0	2	3	3	1	0	1	0	3	0	2	1	0	1	0	0	0	1	0	3	1	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	6	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	1	1	0	2	2	0	1	0	0	0	0	0	0	0	5	3	2	0	0	0	2	3	1	3	0	0	2	5	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	1	2	0	4	0	0	0	0	1	0	0	1	0	2	0	1	0	0	1	0	3	0	0	3	0	3	2	0	0	0	0	0	1	0	2	0	1	1	2	3	0	0	0	1	1	0	1	0	0	1	0	3	0	0	0	0	1	0	0	0	0	1	0	7	2	1	2	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	5	8	2	1	1	0	1	0	0	0	0	4	0	2	1	0	0	2	0	0	2	0	1	2	0	0	0	0	0	1	0	7	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	1	3	1	0	0	0	0	0	0	0	0
Education : NPR	0	1	0	3	0	0	0	3	0	1	0	1	1	0	0	2	0	1	0	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	5	0	3	1	2	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	2	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	1	0	0	0	2	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	3	0	5	1	1	0	0	2	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	3	1	0	7	0	0	1	0	0	0	3	3	0	2	0	1	0	1	0	0	0	1	3	1	0	0	1	1	0	1	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	2	1	1	3	0	0	1	0	2	0	0	0
Utah - The Salt Lake Tribune	1	1	0	2	2	0	1	0	0	0	13	9	1	1	3	4	1	0	0	1	0	0	5	9	0	0	1	4	4	2	0	2	2	0	9	2	1	2	0	1	1	4	7	0	4	0	0	2	8	0	7	0	0	0	2	4	1	3	0	0	0	2	0	0	3	0	2	1	2	3	2	0	14	3	2	0	0	1	4	0	1	2	23	0	0	0	1	4	1	6	0	11	1	0	0	0	3	2	0	0	2	0	1	7	0	4	5	0	0	2	0	2	0	4	1	1	0	2	0	4	5	0	0	1	3	1	8	14	0	9	22	1	0	1	21	0	2	2	1	0	2	6	0	2	7	22	2	2	3	3	3	1	0	4	4	0	1	2	0	4	0	13	0	2	7	6	0	0	0	1	8	1	4	2	0	0	4	1	3	5	2	0	4	3	0	0	0	3	0	4	4	0	3	6	2	2	0	0	5	11	9	2	7	1	1	4	0	0	8	0	9	0	1	0	6	0	6	1	0	0	2	8	3	1	0	5	3	3	1	8	6	1	0	0	2	7	0	3	0	0	0	1	1	2	0	3	2	10	1	2	5	1	2	0	0	1	1
Nature - Issue - nature.com science feeds	2	16	1	11	0	0	1	0	3	3	0	1	4	0	1	8	0	1	9	7	0	2	3	0	0	0	0	2	8	0	0	2	1	1	1	0	3	4	1	0	2	4	2	4	6	4	9	1	17	0	9	4	0	1	0	0	1	6	0	3	0	4	0	1	1	2	0	0	0	4	0	1	4	1	1	0	15	0	0	0	1	3	1	0	0	7	2	19	1	6	1	0	2	2	13	0	3	6	14	2	2	1	7	14	0	3	0	0	1	2	0	4	1	6	4	3	0	2	0	0	6	0	0	3	1	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	2	0	1	0	1	6	0	2	0	2	0	1	7	0	0	0	3	0	0	0	0	1	1	0	10	9	0	5	0	4	3	4	3	0	1	0	0	5	5	0	0	3	0	0	1	0	0	0	0	0	3	33	0	0	0	2	0	1	9	0	0	1	0	0	2	0	0	2	11	0	0	6	1	0	10	0	1	0	1	3	1	1	3	1	3	8	3	0	1	2	0	4	0	0	2	0	0	2	0	1	4	3	10	4	14	0	1	0	3	6	0	3	1	0	1
Reuters: U.S.	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	2	1	0	1	0	0	1	0	2	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	2	1	0	2	1	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	10	0	0	1	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	11	0	1	0	3	0	0	1	4	0	0	1	0	1	2	0	1	1	0	0	0	0	1	0	1	0	2	0	0	0	3	2	0	0	1	0	0	2	0	0	7	0	3	0	1	1	13	0	1	4	0	0	1	0	0	0	0	0	5	0	0	0	0	1	3	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0
NOVA | PBS	0	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Latest Science News -- ScienceDaily	3	0	0	3	0	0	0	0	1	3	2	0	2	0	0	6	0	0	6	6	0	0	7	0	0	0	2	1	3	0	0	0	0	1	0	0	14	1	2	0	2	2	8	0	3	0	1	0	15	0	5	1	4	0	0	0	0	1	0	11	1	5	0	3	5	0	3	0	1	2	0	3	8	1	0	0	1	0	3	1	2	4	3	0	0	2	0	15	0	10	5	2	0	0	13	2	4	1	3	0	0	0	3	1	0	2	1	0	1	7	0	1	0	0	7	1	0	3	0	0	14	1	1	0	0	3	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	1	0	0	0	0	2	4	1	0	3	1	0	2	4	0	0	2	1	0	2	0	0	0	7	1	2	5	2	1	5	3	32	1	2	0	0	0	4	6	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	2	1	0	0	1	9	0	0	2	2	0	0	0	0	0	9	0	1	4	0	0	4	0	0	0	4	4	0	0	0	0	0	7	1	0	0	3	0	6	0	0	1	2	0	3	4	1	2	7	3	1	4	7	0	1	3	4	0	1	2	0	0
Resources » Surfnetkids	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	3	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
CBNNews.com	0	0	0	3	0	0	2	1	0	1	0	1	0	2	0	1	0	0	0	0	0	0	7	1	0	0	1	0	1	0	0	0	1	3	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	4	0	1	0	0	5	3	0	0	2	2	1	0	1	1	1	0	0	0	0	1	1	0	2	0	0	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	12	0	1	1	0	0	0	0	0	0	0	1	1	0	3	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	1	2	1	3	3	0	0	0	0	2	1	2	1	0	0	0	0	0	0	1	0	2	2	0	1	8	0	1	0	0	2	2	2	0	0	2	0	1	0	1	0	1	0	0	0	0	1	6	0	2	0	0	3	0	1	1	0	0	0
